単語,意味,例文,例文訳,類義語,メモ
ability,能力,She has shown great ability in solving complex problems.,彼女は複雑な問題を解決する能力を示しました。,,
abide,従う,We must abide by the rules set by the school administration.,私たちは学校管理部門が設定した規則に従わなければなりません。,,
abundant,豊富な,The tropical rainforest is home to an abundant variety of plant and animal species.,熱帯雨林は多様な植物と動物種の生息地です。,,
accomplish,成し遂げる,She worked tirelessly to accomplish her goal of running a marathon.,彼女はマラソンを走るという目標を達成するためにとても一生懸命働きました。,,
accelerate,加速する,She pressed the accelerator to accelerate the car's speed on the highway.,彼女はハイウェイで車のスピードを加速させるためにアクセルを踏んだ。,,
account,口座,"Please provide more context or specify how you'd like to use the word ""account"" so I can generate an accurate sentence for you.",どのようにアカウントを使用したいかを具体的に指定するか、さらなる文脈を提供していただければ、正確な文を生成できます。,,
accountant,会計士,The accountant reviewed the company's financial reports diligently.,会計士は会社の財務報告書を入念に検討しました。,,
adjacent,隣接した,The two houses are adjacent to each other.,2つの家は隣り合っています。,,
adhere,順守する,It is important to adhere to the rules set by the organization.,組織が設定したルールを守ることが重要です。,,
adjust,調整する,Please adjust the volume to a level that is comfortable for you.,あなたにとって快適なレベルに音量を調整してください。,,
acquire,取得する,She hopes to acquire new skills through online courses.,彼女はオンラインコースを通じて新しいスキルを身につけることを望んでいます。,,
administer,管理する,She was appointed to administer the new company policies.,彼女は新しい企業方針を管理するために任命されました。,,
adverse,不利な,The adverse weather conditions forced the event to be canceled.,不利な天候条件のため、イベントは中止されました。,,
advertise,宣伝する,I will help you advertise your product to a wider audience.,私はあなたが製品をより広い観客に宣伝するのを手助けします。,,
affect,影響を与える,The new policy will affect all employees at the company.,新しい方針は会社の全従業員に影響を与えるでしょう。,,
affiliated,関連のある,The university's research center is affiliated with the local hospital.,大学の研究センターは地元の病院と提携しています。,,
agenda,議題,The topic on the agenda for today's meeting is the budget review.,本日の会議の議題は予算の検討です。,,
allocate,割り当てる,The committee will allocate funds to support local community projects.,委員会は地域コミュニティのプロジェクトを支援するために資金を割り当てます。,,
alternative,代替案,I am looking for an alternative solution to the problem.,問題に対する代替解決策を探しています。,,
amend,修正する,I need to amend the contract to reflect the updated terms.,更新された条件を反映するために契約を修正する必要があります。,,
anticipate,予測する,I anticipate that the new movie will be a huge success.,新しい映画が大成功するだろうと私は予想しています。,,
apparel,衣類,She needed to update her winter apparel before the cold weather set in.,彼女は寒い天気が訪れる前に冬のアパレルを更新する必要がありました。,,
appeal,訴える,She decided to appeal the court's decision.,彼女は裁判所の判決に抗議することを決めました。,,
applicant,応募者,The applicant submitted their resume for the open position.,応募者は空いているポジションに履歴書を提出しました。,,
application,申請,I submitted my application for the job online.,私は仕事の応募をオンラインで提出しました。,,
appoint,任命する,The committee decided to appoint Sarah as the new project manager.,委員会は、サラを新しいプロジェクトマネージャーに任命することを決定しました。,,
appraise,評価する,The manager will appraise your performance at the end of the month.,マネージャーは月末にあなたの業績を評価します。,,
appropriate,適切な,You need to wear appropriate attire for the job interview.,面接には適切な服装を身に着ける必要があります。,,
approximate,おおよその,The approximate time of arrival is 3:30 p.m.,到着予定時刻は午後3時半です。,,
aspire,熱望する,She aspires to become a successful business owner one day.,彼女はいつか成功した事業主になることを望んでいます。,,
arise,生じる,Unexpected challenges may arise during the project implementation.,プロジェクトの実施中に予期しない課題が発生するかもしれません。,,
assemble,組み立てる,I will assemble the bookshelf this afternoon.,今日の午後、私は本棚を組み立てます。,,
asset,資産,The company's most valuable asset is its intellectual property.,会社の最も貴重な資産は知的財産です。,,
assess,評価する,"Before making a decision, it is important to thoroughly assess all available options.",どんな選択をする前には、すべての利用可能な選択肢を十分に評価することが重要です。,,
assign,割り当てる,Please assign these tasks to the appropriate team members.,適切なチームメンバーにこれらのタスクを割り当ててください。,,
assume,想定する,Assume that the meeting will start at 3 p.m.,ミーティングは午後3時に始まると仮定してください。,,
assurance,保証,I provided assurance that the package would arrive on time.,パッケージが時間通りに到着することを保証しました。,,
attorney,弁護士,I hired an attorney to represent me in court.,私は裁判所で私を代表する弁護士を雇いました。,,
attain,達成する,She worked tirelessly to attain her goal of running a marathon.,彼女はマラソンを走るという目標を達成するために、疲れ知らずで働きました。,,
audit,監査,The company conducts an annual audit to review its financial records.,会社は、財務記録を見直すために毎年監査を実施しています。,,
authorize,許可する,The manager will authorize the additional budget for the project.,マネージャーはプロジェクトの追加予算を承認します。,,
award,授与する,She will award the scholarship to the top student in the class.,彼女はクラスのトップ学生に奨学金を授与します。,,
available,利用可能な,The latest software update is available for download.,最新のソフトウェアアップデートはダウンロード可能です。,,
bankrupt,倒産した,The company went bankrupt last year.,会社は去年倒産しました。,,
bargain,交渉する,I managed to bargain for a lower price on the car.,車の値段を下げるために交渉に成功しました。,,
benchmark,基準,The company used industry benchmarks to measure their performance.,会社は業界の基準を使用して自社のパフォーマンスを測定しました。,,
beneficial,有益な,Exercise is beneficial for overall health and well-being.,運動は全体的な健康と幸福に良いです。,,
bond,債券,The company issued a new bond to raise capital for expansion.,会社は拡大のための資金を調達するために新しい債券を発行しました。,,
benefit,利益,The company reaped a significant benefit from the new marketing campaign.,新しいマーケティングキャンペーンに会社は重要な利益を得ました。,,
branch,支店,I will visit the bank branch this afternoon to deposit a check.,今日の午後、小切手を預けに銀行の支店に行きます。,,
boost,押し上げる,The new marketing campaign aims to boost sales significantly.,新しいマーケティングキャンペーンは売上を大幅に増やすことを目指しています。,,
broker,仲介人,The broker facilitated the real estate transaction between the buyer and the seller.,仲介業者が買い手と売り手との間で不動産取引を仲介しました。,,
cancellation,取り消し,The cancellation of the event left many attendees disappointed.,イベントの中止は多くの参加者をがっかりさせました。,,
budget,予算,We need to create a budget for the upcoming project.,次のプロジェクトのために予算を作成する必要があります。,,
capacity,能力,She demonstrated a remarkable capacity for problem-solving during the project.,彼女はプロジェクト中に問題解決のための驚くべき能力を示しました。,,
cargo,貨物,The cargo was loaded onto the ship for delivery overseas.,貨物は海外への配達のために船に積み込まれました。,,
