単語,意味,例文,例文訳,類義語,メモ
기분,気分,그녀가 기분이 좋아 보여요.,彼女は気分が良さそうです。,,
기다리다,待つ,기다리다가 집에 가세요.,待っている間に家に帰ってください。,,
기쁘다,うれしい,기쁜 소식을 듣고 기뻐했다.,嬉しいニュースを聞いて喜んでいました。,,
기억,記憶,그녀는 예전 추억을 기억하고 싶어했다.,彼女は以前の思い出を覚えていたかった。,,
기숙사,寮,기숙사는 대학생들이 주로 거주하는 생활공간입니다.,学生寮は主に大学生が住む生活空間です。,,
기술,技術,그 기술은 매우 혁신적이고 진보된 것입니다.,その技術は非常に革新的で進歩したものです。,,
기온,気温,오늘 기온이 정말 추워요.,今日の気温は本当に寒いです。,,
기차,列車,기차가 역에 도착했습니다.,電車が駅に到着しました。,,
기초,基礎,이 책은 프로그래밍 기초를 설명하고 있습니다.,この本はプログラミングの基礎を説明しています。,,
기회,機会,그 기회를 놓치지 마세요.,その機会を逃さないでください。,,
길,道,길을 따라 가세요.,道を辿ってください。,,
긴장하다,緊張する,저는 시험을 보기 전에 항상 긴장해요.,私は試験を受ける前にいつも緊張します。,,
김,のり,김치에 김을 묻다.,キムチに海苔をつける。,,
길다,長い,길게 생각하다고 해도 문제가 해결되지 않을 수도 있어요.,長く考えていても問題が解決されないこともあるかもしれません。,,
김밥,キンパ,김밥은 한국의 전통 음식 중 하나입니다.,김밥は韓国の伝統食の一つです。,,
김치,キムチ,김치는 한국 음식 중에서 가장 유명하고 맛있는 음식 중 하나입니다.,キムチは韓国料理の中で最も有名でおいしい料理の一つです。,,
깊다,深い,그 호수는 매우 깊어요.,その湖は非常に深いです。,,
깁다,繕う,그는 오늘 모자를 깁고 다녔다.,彼は今日帽子を被って歩きました。,,
깨끗하다,きれいだ,방이 정말 깨끗해요.,部屋は本当にきれいです。,,
깎다,削る,그는 나무 조각을 깎는 일을 즐기며 오랫동안 날로 좋았다.,彼は木を彫ることを楽しんでいて長い間上手だった。,,
깨지다,割れる,컵이 깨졌어요.,カップが割れました。,,
깨닫다,気づく,그는 문제 해결 방법에 대해 깨달았다.,彼は問題解決方法に気づいた。,,
꼭,必ず,꼭 내일 시간을 맞출 거예요.,きっと明日時間を合わせるつもりです。,,
꺼내다,取り出す,서랍에서 책을 꺼냈어요.,引き出しから本を取り出しました。,,
꾸다,夢見る,그는 밤에 꾸는 꿈이 항상 현실같다.,彼は夜に見る夢はいつも現実のようだ。,,
꽃,花,그 꽃이 아름답습니다.,その花は美しいです。,,
꽃집,花屋,저 근처에 예쁜 꽃집이 있어요.,その近くに素敵な花屋があります。,,
꾸미다,飾る,그녀는 집을 아름답게 꾸미다.,彼女は家を美しく飾る。,,
끓이다,沸かす,물을 끓여주세요.,お湯を沸かしてください。,,
꿈,夢,꿈이 현실이 될 수도 있어요.,夢は現実になることもあります。,,
끝나다,終わる,그 영화는 끝났어요.,その映画は終わりました。,,
끝,終わり,수업이 끝나면 책을 닫고 집에 돌아갔어요.,授業が終わると、本を閉じて家に帰りました。,,
끼다,挟まる,그는 침대와 베게 사이에 끼여서 편안했다.,彼はベッドと枕の間に挟まれて快適だった。,,
나가다,出る,그가 집에서 나가고 있어요.,彼は家を出ている。,,
나누다,分ける,우리는 과자를 나눠 먹었다.,私たちはお菓子を分けて食べた。,,
나다,出る,집에서 나기 위해서는 문을 열어야 합니다.,家から出るためには、ドアを開けなければなりません。,,
나무,木,나무는 숲속에서 자랄 때 가장 아름다워요.,木は森の中で育つときが一番美しいです。,,
끝내다,終える,그들은 수업을 끝냈다.,彼らは授業を終えた。,,
나쁘다,悪い,그 영화는 나쁘지 않았어요.,その映画は悪くなかったです。,,
나중,後で,나중에 봐요.,後で会いましょう。,,
나이,年齢,나이가 많으면 경험도 풍부해집니다.,年を取れば経験も豊かになります。,,
나타나다,現れる,그림 속에서 예쁜 꽃이 나타났어요.,絵の中できれいな花が現れました。,,
날,日,그 날은 행복한 날이었습니다.,その日は幸せな日でした。,,
날짜,日付,오늘은 몇 일 날짜인가요?,今日は何日の日付ですか？,,
날씨,天気,오늘의 날씨가 맑아요.,今日の天気は晴れています。,,
남,他人,그 사람은 항상 남을 배려하는 사람입니다.,その人はいつも他人を配慮する人です。,,
남동생,弟,저의 남동생은 학생입니다.,私の弟は学生です。,,
남기다,残す,그림을 그려 놓은 책상이 깔끔하게 정리되어 남겨 있었다.,絵を描いて置いた机がきちんと整理されて残されていた。,,
남자,男,그 남자는 키가 큽니다.,その男性は背が高いです。,,
남편,夫,남편은 저의 가장 친한 친구입니다.,夫は私の一番親しい友達です。,,
낮,昼,낮 동안에는 일을 하며 지내요.,昼間は仕事をして過ごします。,,
낮다,低い,그 집은 천장이 낮다.,その家は天井が低い。,,
내리다,降りる,비가 내리고 있어요.,雨が降っています。,,
내다,出す,그의 실력을 내다.,彼の実力を発揮する。,,
내용,内容,이 책의 내용은 매우 흥미로워요.,この本の内容は非常に興味深いです。,,
냄새,匂い,그 방에는 달콤한 냄새가 퍼져 있었어요.,その部屋には甘い匂いが広がっていました。,,
냄비,鍋,냄비는 음식을 요리하기 위한 도구입니다.,鍋は料理をするための道具です。,,
너,君,너는 내 친구야.,あなたは私の友達です。,,
너무,とても,너무 행복해요.,とても幸せです。,,
넓다,広い,그집은 매우 넓어서 가족들이 편안하게 생활할 수 있어요.,その家はとても広くて、家族が快適に生活できます。,,
넘다,越える,그는 산을 넘어 강을 건넜다.,彼は山を越え川を渡った。,,
넘어지다,転ぶ,그는 길에서 넘어졌다.,彼は道で転んだ。,,
넣다,入れる,책을 가방에 넣었어요.,本をバッグに入れました。,,
