単語,意味,例文,例文訳,類義語,メモ
당신,あなた,당신은 언제나 내 곁에 있어준다.,いつも私のそばにいてくれる。,,
답하다,答える,질문에 대한 답을 정확히 하였다.,質問に対する答えを正確にした。,,
당연하다,当然だ,"당연하다, 그 일을 내가 해주겠어.",もちろん、その仕事を私がやってあげます。,,
대답,返事,그의 대답은 항상 정확하고 빠르다.,彼の返答はいつも正確で速いです。,,
대화,会話,우리는 오늘 대화를 많이 나누었어요.,私たちは今日たくさん話しました。,,
대학생,大学生,대학생들은 학업과 병행하여 다양한 경험을 쌓습니다.,大学生は学業と並行して様々な経験を積みます。,,
당근,にんじん,당근은 오렌지 색깔이다.,にんじんはオレンジ色です。,,
더,もっと,더 공부해야 돼.,もっと勉強しなければならない。,,
더럽다,汚い,그 방은 정말 더럽다.,その部屋は本当に汚いです。,,
더우다,暑い,날씨가 너무 더워요.,天気がとても暑いです。,,
덥다,暑い,오늘은 정말 더워요.,今日は本当に暑いです。,,
덕분,おかげ,덕분에 오늘 파티가 잘 되었어요.,おかげで今日のパーティーはうまくいきました。,,
덩어리,塊,그 돌 덩어리는 아주 무겁다.,その石の塊は非常に重いです。,,
도구,道具,도구는 실용적이고 필요한 물건입니다.,道具は実用的で必要な物です。,,
도,道,도가 가르치는 길이 빛나고 있습니다.,道が致知する場所が輝いています。,,
도둑,泥棒,도둑이 밤에 집에 침입하여 물건을 훔쳐갔어요.,夜中に泥棒が家に侵入して物を盗んでいきました。,,
도서관,図書館,도서관에서 책을 빌릴 수 있어요.,図書館で本を借りることができます。,,
도시,都市,도시에서는 항상 바쁜 일상이 펼쳐집니다.,都市ではいつも忙しい日常が広がります。,,
도와주다,助ける,저는 학생들에게 숙제를 도와줬어요.,私は生徒たちに宿題を手伝いました。,,
도착하다,到着する,그녀가 오늘 밤에 도착할 거예요.,彼女は今夜到着するでしょう。,,
독서,読書,지식을 넓히기 위해 독서를 즐기세요.,知識を広げるために読書を楽しんでください。,,
돈,お金,돈을 모아서 여행을 가고 싶어요.,お金を貯めて旅行したいです。,,
돌,石,돌은 자연 속에서 삶을 지탱하는 중요한 자원입니다.,岩石は自然の中で生命を支える重要な資源です。,,
돌다,回る,긴 여행이 끝나고 집으로 돌았다.,長い旅が終わり、家に帰った。,,
돌려주다,返す,그의 친구가 돈을 돌려주었다.,彼の友達がお金を返してくれた。,,
동물,動物,동물들은 자연의 중요한 일부분입니다.,動物たちは自然の重要な一部です。,,
동생,弟/妹,동생이 항상 내 옆에 있어서 너무 행복해.,弟がいつも私のそばにいてくれて、とても幸せです。,,
동시,同時,그들은 동시에 길을 건넜다.,彼らは同時に道を横断しました。,,
동아리,クラブ,동아리는 학교나 커뮤니티에서 함께 활동하는 모임을 의미합니다.,サークルは学校やコミュニティで一緒に活動するグループを意味します。,,
동전,コイン,동전을 넣어 주세요.,コインを入れてください。,,
동안,間,한국에 다녀올 동안 연락 주세요.,韓国に行く間、連絡してください。,,
동쪽,東,동쪽으로 일출이 아름다워요.,東への日の出は美しいです。,,
되다,なる,그는 우수한 학생이 되었습니다.,彼は優秀な学生になりました。,,
돼지,豚,돼지는 주로 돼지고기로 사용됩니다.,豚は主に豚肉として使われます。,,
되돌리다,元に戻す,그는 실수를 되돌리고 싶어 했다.,彼はミスを元に戻したかった。,,
되찾다,取り戻す,그는 잃은 돈을 되찾았다.,彼は失ったお金を取り戻した。,,
