単語,意味,例文,例文訳,類義語,メモ
Damn! I overslept,寝坊した,,,,
I need to wake up,起きなきゃ,,,,
I wanna go back to sleep,二度寝したいな,,,,
Better get up,そろそろ起きるか,,,,
It’s getting chilly these days,最近寒くなったなー,,,,
I’m scrolling through my phone,携帯見てる,,,,
What should I wear today?,今日何着ようかな？,,,,
I’m going to wear these,今日はこれを着るか,,,,
I’m setting my hair,髪をセットしている,,,,
I have to leave the house in 10 minutes,あと10分で家出ないと,,,,
I should eat something for breakfast,朝何か食べないとなー,,,,
"Oh no, I have to run",やばい時間ない,,,,
I’m heading to school,今から学校行く,,,,
I’ll check my emails on the way,（移動中に）メールチェックするか〜,,,,
I need to transfer at the next station,次の駅で乗り換えないと,,,,
I should grab the coffee on the way,途中でコーヒーでも買うか,,,,
I should organize my desk,机整理しなきゃ,,,,
I’ll take a quick coffee break,ちょっとコーヒー休憩でもするかー,,,,
I need to vacuum the house,家の掃除機かけなきゃ,,,,
I’ll do laundry,洗濯するか,,,,
I’m hanging the clothes,洗濯物干してる,,,,
I need to take up the trust,ゴミ出さなきゃ,,,,
What should I have for lunch?,お昼何食べようかな,,,,
Let’s go out for lunch today,今日は外でランチ食べようか,,,,
where is the remote,リモコンどこ？,,,,
I’m so tired today,今日は本当に疲れた,,,,
Why is it so cold?,なんでこんなに寒いの？,,,,
I forgot my umbrella,傘忘れた,,,,
I’m running out of time,時間がなくなってきた,,,,
Let’s get this done,さっさと終わらせよう,,,,
I need to focus,集中しなきゃ,,,,
Too much to do,やることが多すぎる,,,,
I should clean up,掃除しなきゃ,,,,
Where’s my phone?,スマホどこ？,,,,
I can’t find my wallet,財布が見つからない,,,,
I need to buy groceries,買い物に行かないと,,,,
What should I cook?,何作ろうかな？,,,,
I’m not hungry,お腹空いてないな,,,,
I’m craving something sweet,甘いもの食べたい,,,,
Let’s order something,何か注文しよう,,,,
It’s so noisy outside,外がうるさいな,,,,
Why is it so quiet?,なんでこんなに静かなんだろう？,,,,
I should reply to that message,あのメッセージ返さなきゃ,,,,
I’ll do it later,後でやろう,,,,
Totally forgot about it,すっかり忘れてた,,,,
Let’s go for a walk,散歩に行こう,,,,
I feel lazy today,今日はだるいな,,,,
I should take a shower,シャワー浴びなきゃ,,,,
Already this late?,もうこんな時間？,,,,
Time to sleep,寝る時間だ,,,,
I stayed up too late,夜更かししすぎた,,,,
What was I doing again?,何してたんだっけ？,,,,
I’m easily distracted,すぐ気が散るな,,,,
Let’s get back to work,仕事に戻ろう,,,,
I’m freezing,めっちゃ寒い,,,,
I need some sunlight,日光浴びたいな,,,,
My hands are cold,手が冷たい,,,,
I should open the window,窓を開けよう,,,,
Why is my room messy again?,なんで部屋また散らかってる？,,,,
I should write that down,メモしとかなきゃ,,,,
Let’s check the weather,天気予報見よう,,,,
Do I need an umbrella?,傘いるかな？,,,,
I need more sleep,もっと寝たい,,,,
I’m feeling anxious,なんか不安だな,,,,
I should stretch a bit,ちょっとストレッチしよう,,,,
Let’s drink some water,水飲もう,,,,
I need a break,休憩が必要だ,,,,
Let’s take it easy,気楽にいこう,,,,
I should stop overthinking,考えすぎやめよう,,,,
Everything will be fine,なんとかなるさ,,,,
I should set an alarm,アラームかけなきゃ,,,,
Don’t forget your charger,充電器忘れないように,,,,
I need to be more productive,もっと生産的にならなきゃ,,,,
Why am I so clumsy?,なんでこんなにドジなんだろう,,,,
That was embarrassing,今の恥ずかしかった,,,,
I should’ve said something,何か言えばよかったな,,,,
I’m overthinking again,また考えすぎてる,,,,
Calm down,落ち着こう,,,,
Let’s breathe,深呼吸しよう,,,,
I can’t concentrate,集中できない,,,,
Too many notifications,通知多すぎ,,,,
I should mute my phone,スマホの音消そう,,,,
That was a good idea,あれはいいアイデアだった,,,,
Let’s try that again,もう一回やってみよう,,,,
It’s worth a shot,試してみる価値ある,,,,
That went well,うまくいった,,,,
That didn’t go as planned,思った通りにいかなかった,,,,
"It’s okay, next time",大丈夫、次がある,,,,
Let’s move on,切り替えよう,,,,
Feeling better now,ちょっと気分良くなった,,,,
Let’s listen to some music,音楽でも聴こう,,,,
I like this song,この曲好き,,,,
This brings back memories,懐かしいなこれ,,,,
I want to travel,旅行したいな,,,,
Where should I go next?,次はどこ行こうかな？,,,,
I miss that place,あの場所が恋しい,,,,
I’m excited,ワクワクするな,,,,
Let’s make some plans,予定立てよう,,,,
I should save money,お金貯めなきゃ,,,,
I spent too much,使いすぎた,,,,
